id,period_x,duration,depth,period_y,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
6042214,30564.340034518376,28512.0,6.556030637662722e-05,27.0462338,0.0001226,54977.908143,0.020238,0.02,73.7276,11.4013,14.173,6089.0,False
6042663,31029.73503423466,28512.0,0.0001807270559136,30.9717687,0.0001451,54984.531429,0.050474,0.07,73.7726,11.2997,15.596,5354.0,False
6044064,437964.3018084633,28512.0,0.5821100671745548,5.0632068,1.1e-05,54966.7011,0.092018,0.54,73.9441,11.0029,15.001,5095.0,False
6044543,45951.57146574814,8640.0,0.1917693373471704,0.532086,4e-07,54964.913241,0.025387,0.67,73.9814,10.9105,13.764,7240.0,False
6045264,39284.53697668543,8640.0,0.2706325627029675,0.9093104,9e-07,54965.634157,0.022264,0.61,74.0718,10.7767,13.437,6074.0,False
6046061,51364.73182471708,4320.0,0.0010257871417687,0.2972557,2e-07,54919.45441,0.015453,0.7,74.1341,10.6042,14.988,4563.0,False
6047498,30391.60861442386,28512.0,0.0001479667524459,1.037445,1.1e-06,54964.601927,0.009412,0.42,74.3241,10.3231,15.348,5359.0,True
6048024,918244.8349030191,8640.0,0.0005049347368309,62.816,0.0003896,54984.464464,0.016713,0.0,74.3582,10.2146,12.849,6162.0,False
6050116,31104.517138926294,28512.0,0.1801367859619351,0.2399081,1e-07,54964.708006,0.015182,0.79,74.5792,9.817,14.258,4569.0,False
6056992,902428.520036523,12960.0,0.0076979503007728,10.431153,3.12e-05,54966.935237,0.024683,0.09,75.2127,8.6351,13.761,-1.0,True
6057829,41781.103993791316,28512.0,0.0501507645816272,0.4834268,4e-07,54954.079203,0.028262,0.75,75.335,8.5258,13.309,5444.0,False
6060580,99930.9596861231,8640.0,0.0027854213628519,2.3133689,3.5e-06,54954.632263,0.016147,0.31,75.5139,8.0706,13.46,5308.0,False
6061139,55726.1132873629,4320.0,0.1860083529100517,0.3224413,2e-07,54964.913384,0.017958,0.76,75.5503,7.9831,15.232,5063.0,False
6063448,30700.056209652386,28512.0,0.000842240419111,76.0176958,0.0005066,54972.945177,0.08585,0.03,75.7609,7.6579,13.755,6416.0,False
6067735,1281097.8835929993,4320.0,0.0325024753628415,0.4461815,3e-07,54953.695499,0.026819,0.85,76.1437,6.9693,12.65,5558.0,True
6072195,120922.92282547627,28512.0,0.0029744853432759,2.8001229,4.6e-06,55000.994686,0.151838,0.93,76.5328,6.394,11.41,8313.0,True
6072578,34963.7204687799,28512.0,0.0004349278379625,0.2696718,2e-07,54862.142079,0.015159,0.77,76.5573,6.3477,14.677,5017.0,False
6103049,55567.183308662134,4320.0,0.0329715769794352,0.6431712,6e-07,54964.888912,0.014818,0.59,71.3497,16.9307,15.147,5623.0,False
