id,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
9470175,0.3038318,2e-07,54964.841477,0.016501,0.77,78.7399,12.0749,15.347,5438.0,False
3745184,0.3042328,2e-07,54964.731548,0.013593,0.67,71.2244,10.8722,15.031,4607.0,False
7273033,0.3050331,2e-07,55002.048055,0.016848,0.96,74.2812,13.9534,15.209,5443.0,False
10084115,0.3056657,2e-07,54964.752203,0.019247,0.89,80.0664,11.7274,15.35,5524.0,False
10395202,0.3059446,2e-07,54964.643345,0.019503,0.81,78.3195,16.7308,14.705,5260.0,False
11498689,0.306306,2e-07,54964.607232,0.018114,0.77,79.9953,17.698,15.124,5271.0,False
11395117,0.3065169,2e-07,54964.845917,0.016364,0.74,79.9253,17.3186,14.993,4879.0,False
6504095,0.3067755,2e-07,54964.632606,0.015836,0.96,72.185,16.2917,14.842,5679.0,False
11245381,0.3069917,2e-07,54953.641745,0.016634,0.75,80.9843,14.239,12.858,5567.0,True
7773380,0.3075778,2e-07,54964.888998,0.018767,0.94,77.8325,8.4374,14.475,5357.0,False
10723143,0.3076416,2e-07,54964.841306,0.018014,0.79,79.094,16.3014,15.495,5120.0,False
5563814,0.3082342,2e-07,54964.683004,0.019449,0.91,75.8647,6.2695,15.192,5032.0,False
10285661,0.3082916,2e-07,55002.038068,0.018596,0.79,80.6725,11.3161,15.318,5733.0,False
9245929,0.3083748,2e-07,54964.742065,0.0162,0.94,80.7358,7.7496,15.538,5093.0,False
5307780,0.3088511,2e-07,54964.975035,0.018815,0.88,75.7369,5.9008,14.906,6075.0,False
11305087,0.3092669,2e-07,54964.836735,0.018609,0.79,82.0135,12.447,15.038,5512.0,False
7035139,0.3097412,2e-07,54964.871775,0.019909,0.8,75.0804,11.6151,15.48,5656.0,False
4168013,0.3108761,2e-07,55002.044137,0.019235,0.85,72.6863,8.9145,15.151,5421.0,False
11151970,0.3116291,2e-07,54954.067131,0.019744,0.88,82.4939,11.0325,13.071,5123.0,False
11084647,0.3116736,2e-07,54964.744983,0.019423,0.83,80.6139,14.3243,15.319,5392.0,False
6265720,0.3124277,2e-07,54964.727675,0.018912,0.93,71.6386,16.8421,14.823,5585.0,False
11442348,0.3128408,2e-07,54964.605336,0.016792,0.76,79.2501,19.4795,14.546,5301.0,False
10801703,0.3130925,2e-07,54964.827035,0.018377,0.85,80.5832,13.1805,14.38,5306.0,False
6966265,0.3134353,2e-07,54964.757106,0.016756,0.76,76.4156,8.766,14.55,5460.0,False
11137143,0.3135334,2e-07,54964.776698,0.018775,0.91,80.5699,14.6501,13.145,5895.0,False
8029708,0.3135574,3.7e-06,55000.601078,0.017044,0.75,76.1615,12.238,16.726,5226.0,False
4569923,0.3135835,2e-07,54964.657797,0.02061,0.82,72.9986,9.17,13.873,5557.0,False
12071741,0.3142642,2e-07,54964.817555,0.016178,0.94,83.6876,12.7169,14.818,5385.0,False
5283266,0.3146487,2e-07,54964.67672,0.020068,0.8,73.742,9.3712,14.196,4921.0,False
7821450,0.3147619,2e-07,54964.681405,0.018496,0.81,75.6917,12.5692,14.937,5155.0,False
10322296,0.3150326,2e-07,54964.780304,0.02074,0.84,77.1587,19.2844,12.719,-1.0,False
8545456,0.3152045,2e-07,54953.665175,0.017205,0.77,74.8604,17.2092,11.724,7855.0,True
5283839,0.3152311,2e-07,54964.855369,0.019183,0.93,73.855,9.3,15.156,5906.0,False
3353233,0.3157777,2e-07,55002.057634,0.016595,0.75,72.0026,8.424,15.958,4586.0,False
4249218,0.3161948,2e-07,54964.857382,0.017148,0.76,70.5314,13.3383,13.858,5283.0,False
6431545,0.3168339,2e-07,54964.589641,0.019741,0.91,72.9127,14.2702,13.853,5459.0,False
7533807,0.3168451,2e-07,54964.669469,0.017266,0.95,76.0344,11.0201,15.292,5571.0,False
7953796,0.3175482,2e-07,54964.843665,0.017543,0.94,75.2931,13.8434,15.779,5582.0,False
3545476,0.3176886,2e-07,54964.739951,0.01856,0.88,71.2651,10.2747,14.821,5319.0,False
9994475,0.3184064,2e-07,54964.732027,0.017368,0.77,76.5591,19.3681,14.3,5646.0,False
9347868,0.31847,2e-07,54964.835249,0.018599,0.83,78.5947,11.9513,15.21,5575.0,False
9005043,0.320238,3e-07,55002.139462,0.016323,0.72,75.3872,17.7544,15.779,5141.0,False
11722816,0.3203734,2e-07,54964.744235,0.020168,0.82,82.9951,12.2886,14.227,5885.0,False
10032935,0.320516,2e-07,54964.672349,0.017945,0.76,81.3594,9.3995,14.638,5806.0,False
9145707,0.3207706,2e-07,54964.766143,0.016639,0.75,76.4188,15.7951,14.75,5399.0,False
11303416,0.3207842,2e-07,54964.927759,0.022983,0.94,81.8214,12.8743,15.023,4825.0,False
