title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2414034.842980	1897.299570	12.93	 0.14	13.95	301.56723	 44.45699	-64.4	0.186	i17934	151	109052032	1349388291	529	0.000700	7,23,25,26	0,1,11,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2414142.713834	1897.595106	12.03	 0.54	12.60	301.56307	 44.45530	 39.1	0.486	i18428	151	276856960	1080690691	528	0.000700	7,15,23,28	0,1,11,17,19,21,22,30	4,9
APASS_J200615.5+442725	2414150.777541	1897.617199	12.27	 0.14	12.54	301.56504	 44.45712	-59.9	0.233	i18540	151	8192	1349386240	640	0.000700	13	17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2414154.735448	1897.628042	12.19	 0.11	14.62	301.56480	 44.45712	 55.7	0.418	i18557	152	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2414176.612097	1897.687978	12.94	 0.60	13.02	301.56377	 44.45678	 42.0	0.278	i18711	131	268476544	1080688643	656	0.000700	7,13,15,28	0,1,17,19,21,22,30	4,7,9
APASS_J200615.5+442725	2414187.705073	1897.718370	12.29	 0.04	14.35	301.56485	 44.45699	-59.0	0.134	i18942	152	0	1349453824	512	0.000700		11,16,17,18,19,21,22,28,30	9
APASS_J200615.5+442725	2414291.468485	1898.002653	12.23	 0.10	13.78	301.56513	 44.45741	 78.3	0.435	i19873	151	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2414291.510037	1898.002767	12.62	 0.25	13.25	301.56695	 44.45840	 61.4	0.315	i19876	152	109052032	1349386243	656	0.000700	7,23,25,26	0,1,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2414303.444060	1898.035463	12.34	 0.10	13.54	301.56479	 44.45734	 77.6	0.450	i20032	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414478.831631	1898.515977	12.29	 0.11	13.74	301.56474	 44.45716	-64.7	0.288	i20994	152	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2414560.540305	1898.739836	12.27	 0.13	13.31	301.56462	 44.45717	 87.0	0.440	i21242	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2414565.655987	1898.753852	12.59	 0.17	13.64	301.56360	 44.45657	-84.3	0.137	i21320	151	128	1349453826	528	0.000700	7	1,11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2414755.850476	1899.274933	12.59	 0.30	12.69	301.56254	 44.45591	 43.0	0.517	ac00280	151	8192	1349386240	384	0.000700	13	17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2414768.841839	1899.310526	12.25	 0.11	15.42	301.56469	 44.45729	 78.9	0.179	i22770	152	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2414773.814902	1899.324150	12.12	 0.20	12.85	301.56683	 44.45587	 65.9	0.506	ac00312	151	0	1349451776	384	0.000700		16,17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2414781.822853	1899.346090	12.56	 0.29	13.00	301.56114	 44.45423	 22.8	0.299	ac00316	151	8192	1349386240	384	0.000700	13	17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2414798.797986	1899.392597	12.21	 0.08	14.51	301.56497	 44.45717	 85.6	0.192	i22898	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414809.664199	1899.422368	12.29	 0.07	14.54	301.56486	 44.45734	-37.3	0.161	i22981	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414809.706793	1899.422484	12.27	 0.09	13.41	301.56466	 44.45730	-55.0	0.326	i22982	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414809.820029	1899.422795	12.19	 0.12	14.89	301.56518	 44.45733	 53.3	0.317	i22986	152	128	1349453824	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
APASS_J200615.5+442725	2414809.838037	1899.422844	12.19	 0.19	12.76	301.56512	 44.45710	 62.7	0.375	i22987	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414814.584615	1899.435848	12.57	 0.26	13.58	301.56391	 44.45775	-73.4	0.322	i22995	152	128	1349451778	641	0.000700	7	1,16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414814.604007	1899.435901	12.21	 0.10	12.81	301.56522	 44.45730	  5.1	0.202	i22997	152	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414814.614049	1899.435929	12.38	 0.18	13.41	301.56338	 44.45742	  3.9	0.321	i22998	152	128	1349451778	641	0.000700	7	1,16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414814.621667	1899.435950	12.23	 0.14	13.58	301.56473	 44.45658	 37.1	0.421	i22999	152	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414814.632402	1899.435979	12.94	 0.39	13.18	301.56671	 44.45754	-45.5	0.222	i23000	151	2105472	1345191938	657	0.000700	7,13,21	1,17,18,19,21,28,30	0,4,7,9
APASS_J200615.5+442725	2414814.690232	1899.436138	12.29	 0.08	14.09	301.56486	 44.45764	 16.5	0.361	i23003	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414814.758451	1899.436325	12.23	 0.07	14.43	301.56496	 44.45736	 17.2	0.268	i23008	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414814.827016	1899.436512	12.23	 0.15	14.31	301.56493	 44.45749	 44.6	0.145	i23010	151	128	1349453824	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
APASS_J200615.5+442725	2414823.623418	1899.460612	12.73	 0.24	12.96	301.56452	 44.45759	 84.8	0.220	i23043	152	8320	1349386242	657	0.000700	7,13	1,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414823.713106	1899.460858	12.19	 0.18	12.51	301.56439	 44.45692	-41.7	0.020	i23044	152	8320	1349386240	641	0.000700	7,13	17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2414825.744425	1899.466423	12.21	 0.11	14.17	301.56485	 44.45710	 -0.9	0.325	i23061	151	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2414832.644525	1899.485327	12.36	 0.14	13.68	301.56463	 44.45705	 33.0	0.326	i23080	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2414832.722092	1899.485540	12.64	 1.04	12.74	301.56698	 44.45627	 69.0	0.608	i23081	152	276871296	1080688643	4737	0.000700	7,11,12,13,15,23,28	0,1,17,19,21,22,30	0,7,9,12
