title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
N0302221335	2413586.922958	1896.074926	11.46	 1.96	12.50	301.56371	 44.45617	 61.8	0.612	i14350	103	310384768	1349148674	0	0.000700	7,11,12,23,25,28	1,13,14,17,19,21,22,28,30	UNINIT
N0302221335	2413614.909871	1896.151393	12.57	99.00	12.62	301.56522	 44.45704	 69.2	0.514	i14520	103	12416	1349410816	0	0.000700	7,12,13	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413643.810193	1896.230356	12.39	 0.34	14.25	301.56487	 44.45737	 52.7	0.061	i14711	103	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413672.832193	1896.309651	12.79	99.00	13.01	301.56282	 44.45710	 -1.4	0.507	i14981	103	67156096	1349410819	0	0.000700	7,11,12,13,15,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413753.815759	1896.530917	12.11	 0.21	14.64	301.56473	 44.45722	-19.5	0.433	i15463	97	33554560	1349410819	0	0.000700	7,25	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413769.670890	1896.574237	12.41	 0.25	14.02	301.56479	 44.45734	 86.1	0.354	i15539	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413791.640672	1896.634264	12.43	 1.35	13.14	301.56160	 44.45499	 38.6	0.523	i15728	97	268474496	23724035	0	0.000700	7,11,12,15,28	0,1,17,19,21,22,24	UNINIT
N0302221335	2413807.667445	1896.678053	13.09	 0.29	13.90	301.56187	 44.45656	-83.7	0.173	i15872	97	75497600	1349410819	0	0.000700	7,23,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413823.658366	1896.721744	12.38	 0.38	13.42	301.56472	 44.45734	 63.5	0.510	i15963	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413826.681944	1896.730005	12.41	 0.76	12.86	301.56590	 44.45502	-10.6	0.231	i16009	156	77602944	1349410819	0	0.000700	7,13,21,23,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413852.498152	1896.800541	12.59	 3.23	13.38	301.56172	 44.45517	 40.3	0.387	i16191	97	268474496	23724035	0	0.000700	7,11,12,15,28	0,1,17,19,21,22,24	UNINIT
N0302221335	2413857.566346	1896.814389	12.18	 0.31	12.81	301.56481	 44.45725	-81.3	0.241	i16260	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413905.525567	1896.945425	12.32	 1.50	13.06	301.56187	 44.45486	 35.4	0.447	i16731	97	302028928	23724035	0	0.000700	7,11,12,15,25,28	0,1,17,19,21,22,24	UNINIT
N0302221335	2413937.473157	1897.032803	12.25	 0.99	12.98	301.56309	 44.45559	 43.6	0.582	i17048	97	268468352	1080780802	0	0.000700	7,15,28	1,11,13,14,16,17,19,21,22,30	UNINIT
N0302221335	2414034.842980	1897.299570	12.94	 0.24	13.82	301.56728	 44.45692	-64.4	0.186	i17934	103	75497600	1349412867	0	0.000700	7,23,26	0,1,11,13,14,17,18,19,21,22,28,30	UNINIT
